"character","weighted_degree","group"
"AndreyBolkonsky",434,1
"Anna_Pavlovna_Scherer",81,4
"Bilibin",77,1
"Boris_Drubetskoy",141,3
"Catiche_eldest princess_",56,4
"Count_Ilya_Rostov",45,2
"Countess_Natalya_Rostova",82,2
"Fedor_Ivanovich_Dolokhov",60,5
"Mikhail_Ilarionovich_Kutuzov",59,1
"NatashaRostova",117,2
"Nikolai_Rostov",366,3
"Pierre_Bezukhov",202,4
"Prince_Bagration",54,3
"Prince_Nesvitsky",50,1
"Prince_Nikolay_Bolkonsky",137,1
"Princess_Anna_Mikhaylovna_Drubetskaya",128,4
"Princess_Elisabeta_Lisa_Karlovna_Bolkonskaya",98,1
"Princess_Mariya_Bolkonskaya",112,1
"Sonya_Rostova",52,2
"Staff_Captain_Tushin",42,3
"Telyanin",105,3
"Vasili_Kuragin",177,4
"Vasily_Vasska_Denisov",79,3
"Zherkov",57,5
"regimental commander",68,5
